track_id,genre
Abandoned_Culture_-_Solxis_(3),Electronic
Burned_Sky_-_revolutionvoid,Electronic
Daunting_Scandal_-_Solxis_(3),Electronic
Do_not_blink_-_Xytum,Electronic
Electric_Chronic_-_Social_Bot,Electronic
Mineral_-_HRCRX,Electronic
Pangea_-_Professor_Kliq,Electronic
power_version_-_HiFi_Hustlers,Electronic
Serenity_-_TheVicious,Electronic
Starflex_-_StatueOfDiveo,Electronic
Synthesis_-_Xytum,Electronic
The_Moon_-_zibbon,Electronic
Work_At_Night_-_Professor_Kliq,Electronic
Acoustic_Astronaut_-_Destruction_Mill_©2023_by_Acoustic_Astronaut™,Folk
Athens_-_Pierce_Murphy,Folk
Come_On_Come_On_-_Tamara_Laurel,Folk
Julius_Marx_-_Vices_-_Julius_Marx,Folk
Kavi_Jezzie_Hockaday_-_Forget_About_Tomorrow,Folk
Medicine_-_Kevin_Milner_and_Piero_Peluche,Folk
No_Matter_How_Far_-_Kyle_Cox_(3),Folk
Orange_Juice_-_Sonia_Isabel,Folk
Polaris_(feat._Daria_Shakhova)_-_So_Far_As_I_Know_(2),Folk
Talk_To_Me_-_Allie_Farris,Folk
Tiptoe_-_Rivers_and_Leafs_(2),Folk
Walk_Tonight_-_Charlie_Mosbrook_(2),Folk
Alone_-_Nehilo_-_Nehilo,Pop
Bessonn&amp;sa_-_Dance_All_Night,Pop
Bessonn&amp;sa_-_Like_Before,Pop
Better_-_Square_a_Saw,Pop
Chocolate_-_Alfonso_Lugo,Pop
GK_Menage_-_WALK_THRU_MY_DOOR,Pop
Gone_-_Michael_McEachern,Pop
Kevin_S._-_Reflections_(feat._Mathias_Hagen),Pop
lilac_frog_-_Reason_to_Stay_(feat._undy),Pop
Neon_NiteClub_-_Be_Without_U,Pop
001. Eagles - Hotel California (2013 Remaster),Rock
002. Fleetwood Mac - Go Your Own Way (2004 Remaster),Rock
003. Bruce Springsteen - Born to Run,Rock
004. The Rolling Stones - Brown Sugar (2009 Mix),Rock
005. The Beatles - Get Back (Remastered 2009),Rock
006. David Bowie - Changes (2015 Remaster),Rock
007. Queen - Bohemian Rhapsody (2011 Mix),Rock
008. Led Zeppelin - Rock and Roll (2012 Remaster),Rock
"009. Pink Floyd - Another Brick in the Wall, Pt. 2",Rock
010. Supertramp - Breakfast In America (Remastered),Rock
011. Electric Light Orchestra - Mr. Blue Sky,Rock
012. Thin Lizzy - The Boys Are Back In Town,Rock
013. Derek & The Dominos - Layla (40th Anniversary Version _ 2010 Remastered),Rock
014. Rod Stewart - Maggie May (Remastered Version),Rock
015. Elvis Presley - Suspicious Minds (Remastered),Rock
016. The Beach Boys - Good Vibrations,Rock
017. The Monkees - Last Train to Clarksville,Rock
018. The Who - My Generation,Rock
019. Bob Dylan - Subterranean Homesick Blues,Rock
020. Paul Simon - 50 Ways to Leave Your Lover,Rock
021. The Doors - L.A. Woman,Rock
022. Lynyrd Skynyrd - Free Bird,Rock
023. AC_DC - Back In Black,Rock
024. Deep Purple - Smoke on the Water,Rock
025. Toto - Rosanna,Rock
026. Yes - Owner of a Lonely Heart,Rock
027. Boston - More Than a Feeling,Rock
028. Elton John - I'm Still Standing,Rock
029. Foreigner - Cold as Ice (2008 Remaster),Rock
030. The Doobie Brothers - Listen to the Music (Single Version; 2006 Remaster),Rock
031. Dire Straits - Sultans of Swing,Rock
032. Free - All Right Now,Rock
033. Steppenwolf - Born To Be Wild (Single Version),Rock
034. Jimi Hendrix - All Along the Watchtower,Rock
035. T. Rex - 20th Century Boy,Rock
036. The Kinks - Rats,Rock
037. Lou Reed - Walk On the Wild Side,Rock
038. Carly Simon - You're so Vain,Rock
039. Carole King - I Feel the Earth Move,Rock
040. Steely Dan - Do It Again,Rock
041. The Police - Roxanne (Remastered 2003),Rock
042. The Clash - Should I Stay or Should I Go (Remastered),Rock
043. Iggy Pop - The Passenger,Rock
044. The Byrds - Eight Miles High,Rock
045. The Animals - House Of The Rising Sun,Rock
046. Jefferson Airplane - White Rabbit,Rock
"047. Crosby, Stills, Nash & Young - Our House",Rock
048. Chicago - If You Leave Me Now,Rock
049. Gerry Rafferty - Baker Street,Rock
050. Van Morrison - Bright Side of the Road,Rock
051. Tom Petty and the Heartbreakers - American Girl,Rock
052. Creedence Clearwater Revival - Up Around The Bend,Rock
053. Canned Heat - On The Road Again,Rock
054. The Spencer Davis Group - Gimme Some Lovin' (Single Mix),Rock
055. Faces - Stay with Me (2006 Remaster),Rock
056. Roxy Music - Virginia Plain,Rock
057. Paul McCartney & Wings - Jet (Remastered 2010),Rock
058. George Harrison - My Sweet Lord (2014 Mix),Rock
059. John Lennon - Imagine (2010 Mix),Rock
060. Don McLean - American Pie,Rock
061. Cat Stevens - Wild World,Rock
062. The Mamas & The Papas - California Dreamin' (Single Version),Rock
063. Cream - Sunshine Of Your Love,Rock
064. The Band - The Weight (Remastered),Rock
065. Status Quo - Rockin' All Over The World,Rock
066. Steve Harley - Make Me Smile (Come up and See Me) (2014 Remaster),Rock
067. Bachman-Turner Overdrive - You Ain't Seen Nothing Yet,Rock
068. Steve Miller Band - Abracadabra,Rock
069. The Cars - My Best Friend's Girl,Rock
070. Patti Smith - Because the Night,Rock
071. Elvis Costello & The Attractions - Oliver's Army,Rock
072. Roy Orbison - I Drove All Night,Rock
073. ZZ Top - Gimme All Your Lovin',Rock
074. Blue Öyster Cult - (Don't Fear) The Reaper,Rock
075. Aerosmith - Walk This Way,Rock
076. Alice Cooper - School's Out,Rock
077. Santana - Black Magic Woman _ Gypsy Queen,Rock
078. Buffalo Springfield - For What It's Worth,Rock
079. Johnny Cash - Ring of Fire,Rock
080. The Velvet Underground - Rock and Roll (Full Length Version; 2015 Remaster),Rock
081. Small Faces - Itchycoo Park,Rock
082. Janis Joplin - Piece of My Heart,Rock
083. The Hollies - He Ain't Heavy He's My Brother,Rock
084. The Lovin' Spoonful - Summer in the City,Rock
085. Stealers Wheel - Stuck In The Middle With You,Rock
086. Cheap Trick - I Want You to Want Me,Rock
087. The Sweet - Ballroom Blitz,Rock
088. Mud - Tiger Feet,Rock
089. Mungo Jerry - In the Summertime,Rock
090. Slade - Cum on Feel the Noize,Rock
091. Ram Jam - Black Betty,Rock
092. Black Sabbath - Paranoid,Rock
093. KISS - I Was Made For Lovin' You,Rock
094. Van Halen - Ain't Talkin' 'Bout Love (2015 Remaster),Rock
095. Kansas - Carry on Wayward Son,Rock
096. REO Speedwagon - Can't Fight This Feeling,Rock
097. Mott the Hoople - All the Young Dudes,Rock
098. The Yardbirds - For Your Love,Rock
099. The Zombies - She's Not There,Rock
100. The Turtles - Happy Together,Rock
